"Strategies","1","2","3","4","5","6","7","8","9","10"
"CC-LR",0.1856,0.2062,0.2371,0.1856,0.2268,0.2165,0.21,0.1809,0.1546,0.1959
"CC-RF",0.2577,0.2784,0.2268,0.1546,0.2062,0.2165,0.22,0.234,0.2268,0.2474
"CC-SVM",0.134,0.2165,0.2165,0.1753,0.2165,0.2062,0.23,0.1809,0.1959,0.1959
"CC-SVMt",0.2062,0.2371,0.1959,0.0103,0.2062,0.1856,0.2,0.1915,0.1649,0.0103
"CC-XGB",0.2268,0.2784,0.2371,0.2062,0.2474,0.268,0.23,0.2234,0.2887,0.268
"DBR-C5.0",0.134,0.1649,0.2062,0.1443,0.1753,0.2062,0.18,0.2128,0.1237,0.1753
"DBR-LR",0.1856,0.2474,0.2268,0.1753,0.1134,0.1753,0.15,0.2021,0.1959,0.1959
"DBR-RF",0.2577,0.299,0.2474,0.2165,0.2062,0.2268,0.25,0.234,0.2268,0.2165
"DBR-SVM",0.1443,0.2268,0.2268,0.1959,0.1856,0.1856,0.19,0.1809,0.1959,0.1856
"DBR-SVMt",0.1443,0.2165,0.1959,0.1031,0.1134,0.1753,0.2,0.1383,0.1237,0.1856
"DBR-XGB",0.1753,0.2165,0.2165,0.1443,0.1753,0.2268,0.18,0.1596,0.2268,0.2165
"EBR-C5.0",0.1753,0.2165,0.1649,0.1753,0.1134,0.2062,0.18,0.1809,0.1031,0.1753
"EBR-LR",0.1031,0.2371,0.1959,0.1649,0.1134,0.134,0.2,0.1064,0.1031,0.1443
"EBR-RF",0.1959,0.2371,0.2165,0.1649,0.2062,0.2165,0.19,0.1702,0.2268,0.2165
"EBR-SVM",0.1856,0.2887,0.1753,0.1134,0.1134,0.1649,0.2,0.1489,0.1443,0.1856
"EBR-SVMt",0.2165,0.2268,0.2268,0.1237,0.0825,0.134,0.16,0.1277,0.1959,0.1959
"EBR-XGB",0.1443,0.2268,0.1546,0.1546,0.1443,0.2165,0.19,0.1915,0.1753,0.2371
"ECC-C5.0",0.2062,0.2577,0.1753,0.1443,0.1443,0.1856,0.2,0.1383,0.2062,0.2371
"ECC-LR",0.1753,0.1753,0.1649,0.134,0.134,0.2062,0.16,0.1915,0.1649,0.1546
"ECC-RF",0.2371,0.2268,0.2165,0.1959,0.2474,0.2371,0.18,0.1809,0.2371,0.2165
"ECC-SVM",0.1649,0.2371,0.2165,0.1237,0.1546,0.2165,0.21,0.1383,0.2268,0.2165
"ECC-SVMt",0.1649,0.2474,0.2165,0.1237,0.0619,0.2062,0.17,0.2234,0.1546,0.2371
"ECC-XGB",0.2268,0.2371,0.2474,0.1649,0.1649,0.2165,0.17,0.2128,0.2371,0.268
"MBR-C5.0",0.0928,0.1443,0.1753,0.1443,0.0825,0.1649,0.2,0.1809,0.1031,0.2371
"MBR-LR",0.1856,0.2165,0.2165,0.134,0.134,0.1856,0.19,0.2021,0.134,0.1959
"MBR-RF",0.2371,0.268,0.2268,0.1753,0.2062,0.2165,0.2,0.2021,0.2268,0.2371
"MBR-SVM",0.1959,0.2165,0.1959,0.1443,0.1443,0.1959,0.17,0.1489,0.134,0.2165
"MBR-SVMt",0.1443,0.0206,0.2165,0.1546,0.1753,0.1546,0.17,0.1915,0.1237,0.0103
"MBR-XGB",0.1649,0.2062,0.1649,0.134,0.134,0.2371,0.18,0.117,0.1443,0.2371
"NS-C5.0",0.134,0.2474,0.2165,0.1237,0.1134,0.2062,0.21,0.1915,0.134,0.1959
"NS-LR",0.1959,0.2268,0.2165,0.1649,0.1649,0.2062,0.21,0.1489,0.1443,0.1753
"NS-RF",0.2474,0.2784,0.2268,0.1649,0.1959,0.2165,0.22,0.234,0.2062,0.2474
"NS-SVM",0.1443,0.2268,0.2062,0.1753,0.1753,0.1856,0.22,0.1489,0.1856,0.1856
"NS-SVMt",0.134,0.0412,0.2165,0.1959,0.134,0.1753,0.16,0.1596,0.1649,0.1959
"NS-XGB",0.2268,0.2887,0.2371,0.2062,0.268,0.2784,0.23,0.2234,0.299,0.2474
"PruDent-C5.0",0.0722,0.1443,0.1959,0.1649,0.1031,0.1959,0.2,0.1915,0.134,0.1959
"PruDent-LR",0.1959,0.2371,0.2165,0.1443,0.1546,0.1959,0.22,0.1596,0.134,0.2165
"PruDent-RF",0.2371,0.268,0.2062,0.1546,0.2062,0.1959,0.23,0.2128,0.2165,0.2165
"PruDent-SVM",0.1856,0.1959,0.2371,0.1443,0.1546,0.1856,0.19,0.1702,0.1443,0.1856
"PruDent-SVMt",0.0928,0.2474,0.2165,0.1443,0.1649,0.1753,0.22,0.2021,0.134,0.0206
"PruDent-XGB",0.1649,0.2062,0.1649,0.1237,0.134,0.2577,0.21,0.1277,0.1443,0.2371
"RDBR-C5.0",0.2268,0.2887,0.2474,0.2371,0.2165,0.2268,0.24,0.2234,0.1546,0.2474
"RDBR-LR",0.2268,0.2577,0.1959,0.1856,0.2268,0.1959,0.18,0.1702,0.1546,0.2165
"RDBR-RF",0.2784,0.2887,0.2577,0.2577,0.2371,0.2371,0.24,0.2553,0.2371,0.2165
"RDBR-SVM",0.1546,0.2268,0.2268,0.2268,0.2268,0.2062,0.21,0.1809,0.2268,0.2062
"RDBR-SVMt",0.2268,0.2474,0.2062,0.2062,0.2268,0.1856,0.23,0.1915,0.2371,0.2371
"RDBR-XGB",0.2577,0.299,0.2577,0.1959,0.2062,0.299,0.23,0.2872,0.2887,0.2887
